case,id,gender,deg,yrdeg,field,startyr,year,rank,admin,salary
73,12,M,PhD,64,Other,64,93,Full,0,9025
74,12,M,PhD,64,Other,64,94,Full,0,9025
75,12,M,PhD,64,Other,64,95,Full,0,9286
76,13,M,PhD,68,Prof,69,76,Assoc,0,1875
77,13,M,PhD,68,Prof,69,77,Assoc,0,2136
78,13,M,PhD,68,Prof,69,78,Assoc,0,2256
79,13,M,PhD,68,Prof,69,79,Assoc,0,2540
80,13,M,PhD,68,Prof,69,80,Assoc,0,2824
81,13,M,PhD,68,Prof,69,81,Assoc,0,3137
82,13,M,PhD,68,Prof,69,82,Full,0,3322
83,13,M,PhD,68,Prof,69,83,Full,0,3505
84,13,M,PhD,68,Prof,69,84,Full,0,3742
85,13,M,PhD,68,Prof,69,85,Full,0,3742
86,13,M,PhD,68,Prof,69,86,Full,0,4641
87,13,M,PhD,68,Prof,69,87,Full,0,4874
88,13,M,PhD,68,Prof,69,88,Full,0,6675
89,13,M,PhD,68,Prof,69,89,Full,0,7142
90,13,M,PhD,68,Prof,69,90,Full,0,7475
91,13,M,PhD,68,Prof,69,91,Full,0,7935
92,13,M,PhD,68,Prof,69,92,Full,0,8165
93,13,M,PhD,68,Prof,69,93,Full,0,8402
94,13,M,PhD,68,Prof,69,94,Full,0,8402
95,13,M,PhD,68,Prof,69,95,Full,0,8770
96,14,M,PhD,79,Other,92,92,Assoc,0,8646
97,14,M,PhD,79,Other,92,93,Assoc,0,8770
98,14,M,PhD,79,Other,92,94,Full,0,9025
99,14,M,PhD,79,Other,92,95,Full,0,9477
100,15,M,PhD,72,Other,91,91,Full,0,4538
101,15,M,PhD,72,Other,91,92,Full,0,4737
102,15,M,PhD,72,Other,91,93,Full,0,4875
103,15,M,PhD,72,Other,91,94,Full,0,4875
104,15,M,PhD,72,Other,91,95,Full,0,5088
105,16,M,PhD,73,Other,79,79,Assist,0,1889
106,16,M,PhD,73,Other,79,80,Assist,0,2037
107,16,M,PhD,73,Other,79,81,Assist,0,2323
108,16,M,PhD,73,Other,79,82,Assoc,0,2425
109,16,M,PhD,73,Other,79,83,Assoc,0,3619
110,16,M,PhD,73,Other,79,84,Assoc,0,3742
111,16,M,PhD,73,Other,79,85,Assoc,0,3742
112,16,M,PhD,73,Other,79,86,Assoc,0,4081
113,16,M,PhD,73,Other,79,87,Assoc,0,4286
114,16,M,PhD,73,Other,79,88,Assoc,0,4538
115,16,M,PhD,73,Other,79,89,Full,0,5290
116,16,M,PhD,73,Other,79,90,Full,0,6480
117,16,M,PhD,73,Other,79,91,Full,0,6977
118,16,M,PhD,73,Other,79,92,Full,0,7180
119,16,M,PhD,73,Other,79,93,Full,0,7602
120,16,M,PhD,73,Other,79,94,Full,0,7602
121,16,M,PhD,73,Other,79,95,Full,0,7935
122,17,M,PhD,72,Other,72,76,Assist,0,1773
123,17,M,PhD,72,Other,72,77,Assoc,0,2019
124,17,M,PhD,72,Other,72,78,Assoc,0,2176
125,17,M,PhD,72,Other,72,79,Assoc,0,2411
126,17,M,PhD,72,Other,72,80,Assoc,0,2552
127,17,M,PhD,72,Other,72,81,Assoc,0,2758
128,17,M,PhD,72,Other,72,82,Assoc,0,2838
129,17,M,PhD,72,Other,72,83,Full,0,2994
130,17,M,PhD,72,Other,72,84,Full,0,3197
131,17,M,PhD,72,Other,72,85,Full,0,3197
132,17,M,PhD,72,Other,72,86,Full,0,3293
133,17,M,PhD,72,Other,72,87,Full,0,3458
134,17,M,PhD,72,Other,72,88,Full,0,3877
135,17,M,PhD,72,Other,72,89,Full,0,4520
136,17,M,PhD,72,Other,72,90,Full,0,4731
137,17,M,PhD,72,Other,72,91,Full,0,5168
138,17,M,PhD,72,Other,72,92,Full,0,5318
139,17,M,PhD,72,Other,72,93,Full,0,5394
140,17,M,PhD,72,Other,72,94,Full,0,5394
141,17,M,PhD,72,Other,72,95,Full,0,5472
142,18,M,PhD,67,Prof,69,76,Assoc,0,2180
143,18,M,PhD,67,Prof,69,77,Assoc,0,1915
144,18,M,PhD,67,Prof,69,79,Full,0,2610
145,18,M,PhD,67,Prof,69,81,Full,0,3178
146,18,M,PhD,67,Prof,69,82,Full,0,3365
147,18,M,PhD,67,Prof,69,83,Full,0,3550
148,18,M,PhD,67,Prof,69,84,Full,0,4013
149,18,M,PhD,67,Prof,69,85,Full,0,4013
150,18,M,PhD,67,Prof,69,86,Full,0,4908
151,18,M,PhD,67,Prof,69,87,Full,0,5155
152,18,M,PhD,67,Prof,69,88,Full,0,5305
153,18,M,PhD,67,Prof,69,89,Full,0,5756
154,18,M,PhD,67,Prof,69,90,Full,0,6025
155,18,M,PhD,67,Prof,69,91,Full,0,6305
156,18,M,PhD,67,Prof,69,92,Full,0,6581
157,18,M,PhD,67,Prof,69,93,Full,0,6772
158,18,M,PhD,67,Prof,69,94,Full,0,6772
159,18,M,PhD,67,Prof,69,95,Full,0,7069
160,19,M,PhD,79,Other,91,91,Assist,0,3221
161,19,M,PhD,79,Other,91,92,Assist,0,3509
162,19,M,PhD,79,Other,91,93,Assist,0,3509
163,19,M,PhD,79,Other,91,94,Assoc,0,3611
164,19,M,PhD,79,Other,91,95,Assoc,0,4332
165,20,F,PhD,92,Arts,95,95,Assist,0,4231
166,21,M,PhD,88,Arts,88,88,Assist,0,2913
167,21,M,PhD,88,Arts,88,89,Assist,0,3029
168,21,M,PhD,88,Arts,88,90,Assist,0,3310
169,21,M,PhD,88,Arts,88,91,Assist,0,3564
170,21,M,PhD,88,Arts,88,92,Assist,0,3774
171,21,M,PhD,88,Arts,88,93,Assist,0,3883
172,21,M,PhD,88,Arts,88,94,Assoc,0,3996
173,21,M,PhD,88,Arts,88,95,Assoc,0,4171
174,22,M,PhD,93,Other,93,93,Assist,0,4676
175,22,M,PhD,93,Other,93,94,Assist,0,4676
176,22,M,PhD,93,Other,93,95,Assist,0,4881
177,23,M,PhD,70,Other,70,76,Full,0,2601.818
178,23,M,PhD,70,Other,70,77,Full,0,2990.411
179,23,M,PhD,70,Other,70,78,Full,0,3195.522
180,23,M,PhD,70,Other,70,79,Full,0,3556
181,23,M,PhD,70,Other,70,80,Full,0,3897
182,23,M,PhD,70,Other,70,81,Full,0,4358
183,23,M,PhD,70,Other,70,82,Full,0,4681
184,23,M,PhD,70,Other,70,84,Full,0,5199
185,23,M,PhD,70,Other,70,85,Full,0,5199
186,23,M,PhD,70,Other,70,86,Full,0,6730
187,23,M,PhD,70,Other,70,87,Full,0,7067
188,23,M,PhD,70,Other,70,88,Full,0,7377
189,23,M,PhD,70,Other,70,89,Full,0,8122
190,23,M,PhD,70,Other,70,90,Full,0,8748
191,23,M,PhD,70,Other,70,91,Full,0,9420
192,23,M,PhD,70,Other,70,92,Full,0,9974
193,23,M,PhD,70,Other,70,93,Full,0,10411
194,23,M,PhD,70,Other,70,94,Full,0,10411
195,23,M,PhD,70,Other,70,95,Full,0,10867
196,24,M,PhD,76,Prof,83,83,Assoc,0,3985
197,24,M,PhD,76,Prof,83,84,Assoc,0,4195
198,24,M,PhD,76,Prof,83,85,Assoc,0,4195
199,24,M,PhD,76,Prof,83,86,Full,0,5354
200,24,M,PhD,76,Prof,83,87,Full,0,5623
201,24,M,PhD,76,Prof,83,88,Full,0,5953
202,24,M,PhD,76,Prof,83,89,Full,0,6462
203,24,M,PhD,76,Prof,83,90,Full,0,7583
204,24,M,PhD,76,Prof,83,91,Full,0,8049
205,24,M,PhD,76,Prof,83,92,Full,0,8402
206,24,M,PhD,76,Prof,83,93,Full,0,8770
207,24,M,PhD,76,Prof,83,94,Full,0,8770
208,24,M,PhD,76,Prof,83,95,Full,0,9420
209,26,M,PhD,67,Other,71,76,Assoc,0,1908.772
210,26,M,PhD,67,Other,71,77,Assoc,0,2097
211,26,M,PhD,67,Other,71,78,Assoc,0,2176
212,26,M,PhD,67,Other,71,79,Assoc,0,2454
213,26,M,PhD,67,Other,71,80,Assoc,0,2642
214,26,M,PhD,67,Other,71,81,Assoc,0,2838
215,26,M,PhD,67,Other,71,82,Assoc,0,2920
216,26,M,PhD,67,Other,71,83,Assoc,0,3081
217,26,M,PhD,67,Other,71,84,Assoc,0,3484
218,26,M,PhD,67,Other,71,85,Full,0,3586
219,26,M,PhD,67,Other,71,86,Full,0,4023
220,26,M,PhD,67,Other,71,87,Full,0,4225
221,26,M,PhD,67,Other,71,88,Full,0,4410
222,26,M,PhD,67,Other,71,89,Full,0,4718
223,26,M,PhD,67,Other,71,90,Full,0,4800
224,26,M,PhD,67,Other,71,91,Full,0,4881
225,26,M,PhD,67,Other,71,92,Full,0,4881
226,26,M,PhD,67,Other,71,93,Full,0,4951
227,26,M,PhD,67,Other,71,94,Full,0,4951
228,26,M,PhD,67,Other,71,95,Full,0,5022
229,28,M,PhD,92,Prof,93,93,Assist,0,3828
230,28,M,PhD,92,Prof,93,94,Assist,0,3828
231,28,M,PhD,92,Prof,93,95,Assist,0,4292
232,29,M,PhD,80,Other,81,81,Assist,0,1985
233,29,M,PhD,80,Other,81,85,Assist,0,3223
234,29,M,PhD,80,Other,81,86,Assist,0,3341
235,29,M,PhD,80,Other,81,87,Assoc,0,3610
236,29,M,PhD,80,Other,81,88,Assoc,0,3715
237,29,M,PhD,80,Other,81,89,Assoc,0,4032
238,29,M,PhD,80,Other,81,90,Assoc,0,4281
239,29,M,PhD,80,Other,81,91,Assoc,0,4480
240,29,M,PhD,80,Other,81,92,Assoc,0,4676
241,29,M,PhD,80,Other,81,93,Assoc,0,4812
242,29,M,PhD,80,Other,81,94,Assoc,0,4812
243,29,M,PhD,80,Other,81,95,Assoc,0,5022
244,30,M,PhD,78,Other,87,87,Assoc,0,3873
245,30,M,PhD,78,Other,87,88,Assoc,0,3986
246,30,M,PhD,78,Other,87,89,Assoc,0,4450
247,30,M,PhD,78,Other,87,90,Assoc,0,4933
248,30,M,PhD,78,Other,87,91,Full,0,5624
249,30,M,PhD,78,Other,87,92,Full,0,6040
250,30,M,PhD,78,Other,87,93,Full,0,6216
251,30,M,PhD,78,Other,87,94,Full,0,6216
252,30,M,PhD,78,Other,87,95,Full,0,6488
253,31,M,PhD,86,Other,90,90,Assist,0,4220
254,31,M,PhD,86,Other,90,91,Assist,0,4292
255,31,M,PhD,86,Other,90,92,Assist,0,4416
256,31,M,PhD,86,Other,90,93,Assist,0,4610
257,31,M,PhD,86,Other,90,94,Assoc,0,4743
258,31,M,PhD,86,Other,90,95,Assoc,0,5022
259,32,M,PhD,91,Arts,95,95,Assist,0,3939
260,34,M,PhD,86,Other,95,95,Assoc,0,8278
261,35,M,PhD,64,Other,65,76,Full,1,3246
262,35,M,PhD,64,Other,65,77,Full,1,3563.636
263,35,M,PhD,64,Other,65,78,Full,0,3672
264,35,M,PhD,64,Other,65,79,Full,0,4009
265,35,M,PhD,64,Other,65,80,Full,0,4276
266,35,M,PhD,64,Other,65,81,Full,0,4681
267,35,M,PhD,64,Other,65,82,Full,0,5006.061
268,35,M,PhD,64,Other,65,83,Full,0,5229
269,35,M,PhD,64,Other,65,84,Full,0,5504
270,35,M,PhD,64,Other,65,85,Full,0,5504
271,35,M,PhD,64,Other,65,86,Full,0,6002
272,35,M,PhD,64,Other,65,87,Full,0,6304
273,35,M,PhD,64,Other,65,88,Full,0,6394
274,35,M,PhD,64,Other,65,89,Full,0,6842
275,35,M,PhD,64,Other,65,90,Full,0,7162
276,35,M,PhD,64,Other,65,91,Full,0,7494
277,35,M,PhD,64,Other,65,92,Full,0,7712
278,35,M,PhD,64,Other,65,93,Full,0,7935
279,35,M,PhD,64,Other,65,94,Full,0,7935
280,35,M,PhD,64,Other,65,95,Full,0,8165
281,36,M,PhD,67,Prof,73,76,Assoc,1,2052
282,36,M,PhD,67,Prof,73,77,Assoc,1,2296
283,36,M,PhD,67,Prof,73,78,Assoc,1,2501.333
284,36,M,PhD,67,Prof,73,79,Assoc,1,2850
285,36,M,PhD,67,Prof,73,80,Assoc,1,3153.333
286,36,M,PhD,67,Prof,73,81,Assoc,0,3500
287,36,M,PhD,67,Prof,73,82,Assoc,0,3517
288,36,M,PhD,67,Prof,73,83,Assoc,0,3764
289,36,M,PhD,67,Prof,73,84,Assoc,0,3962
290,36,M,PhD,67,Prof,73,85,Assoc,0,3962
291,36,M,PhD,67,Prof,73,86,Assoc,0,4081
292,36,M,PhD,67,Prof,73,87,Assoc,0,4285
293,36,M,PhD,67,Prof,73,88,Full,0,4603
294,36,M,PhD,67,Prof,73,89,Full,0,5068
295,36,M,PhD,67,Prof,73,90,Full,0,5617
296,36,M,PhD,67,Prof,73,91,Full,0,6135
297,36,M,PhD,67,Prof,73,92,Full,0,6313
298,36,M,PhD,67,Prof,73,93,Full,0,6404
299,36,M,PhD,67,Prof,73,94,Full,0,6404
300,36,M,PhD,67,Prof,73,95,Full,0,6684
301,37,F,PhD,93,Other,93,93,Assist,0,4112
302,37,F,PhD,93,Other,93,94,Assist,0,4112
303,37,F,PhD,93,Other,93,95,Assist,0,4292
304,39,M,PhD,59,Prof,95,95,Full,0,14464
305,40,M,PhD,62,Other,70,76,Full,0,2810
306,40,M,PhD,62,Other,70,77,Full,0,3202
307,40,M,PhD,62,Other,70,78,Full,0,3434
308,40,M,PhD,62,Other,70,79,Full,0,3906
309,40,M,PhD,62,Other,70,80,Full,0,4169
310,40,M,PhD,62,Other,70,81,Full,0,4548
311,40,M,PhD,62,Other,70,82,Full,0,4548
312,40,M,PhD,62,Other,70,83,Full,0,4798
313,40,M,PhD,62,Other,70,84,Full,0,4981
314,40,M,PhD,62,Other,70,85,Full,0,4981
315,40,M,PhD,62,Other,70,86,Full,0,5431
316,40,M,PhD,62,Other,70,87,Full,0,5703
317,40,M,PhD,62,Other,70,88,Full,0,6039
318,40,M,PhD,62,Other,70,89,Full,0,6555
319,40,M,PhD,62,Other,70,90,Full,0,6861
320,40,M,PhD,62,Other,70,91,Full,0,7283
321,40,M,PhD,62,Other,70,92,Full,0,7388
322,40,M,PhD,62,Other,70,93,Full,0,7494
323,40,M,PhD,62,Other,70,94,Full,0,7494
324,40,M,PhD,62,Other,70,95,Full,0,7712
325,41,M,PhD,66,Other,66,76,Full,0,2171
326,41,M,PhD,66,Other,66,77,Full,0,2482
327,41,M,PhD,66,Other,66,78,Full,0,2671
328,41,M,PhD,66,Other,66,79,Full,0,2986
329,41,M,PhD,66,Other,66,80,Full,0,3239
330,41,M,PhD,66,Other,66,81,Full,0,3619.403
331,41,M,PhD,66,Other,66,82,Full,0,3723
332,41,M,PhD,66,Other,66,83,Full,0,3928
333,41,M,PhD,66,Other,66,84,Full,0,4195
334,41,M,PhD,66,Other,66,85,Full,0,4195
335,41,M,PhD,66,Other,66,86,Full,0,4321
336,41,M,PhD,66,Other,66,87,Full,0,4538
337,41,M,PhD,66,Other,66,88,Full,0,4669
338,41,M,PhD,66,Other,66,89,Full,0,4996
339,41,M,PhD,66,Other,66,90,Full,0,5229
340,41,M,PhD,66,Other,66,91,Full,0,5794
341,41,M,PhD,66,Other,66,92,Full,0,6135
342,41,M,PhD,66,Other,66,93,Full,0,6404
343,41,M,PhD,66,Other,66,94,Full,0,6404.478
344,41,M,PhD,66,Other,66,95,Full,0,7361
345,42,M,PhD,88,Prof,88,88,Assist,0,4603
346,42,M,PhD,88,Prof,88,89,Assist,0,4651
347,42,M,PhD,88,Prof,88,90,Assist,0,5229
348,42,M,PhD,88,Prof,88,91,Assist,0,5631
349,42,M,PhD,88,Prof,88,92,Assist,0,5878
350,42,M,PhD,88,Prof,88,93,Assoc,0,6223
351,42,M,PhD,88,Prof,88,94,Assoc,0,6223
352,42,M,PhD,88,Prof,88,95,Assoc,0,6684
353,44,F,PhD,95,Other,95,95,Assist,0,4292
354,45,F,PhD,69,Arts,83,83,Assist,0,2154
355,45,F,PhD,69,Arts,83,84,Assist,0,2368
356,45,F,PhD,69,Arts,83,85,Assist,0,2368
357,45,F,PhD,69,Arts,83,86,Assist,0,2735
358,45,F,PhD,69,Arts,83,87,Assist,0,2872
359,45,F,PhD,69,Arts,83,88,Assist,0,2955
360,45,F,PhD,69,Arts,83,89,Assoc,0,3596
361,45,F,PhD,69,Arts,83,90,Assoc,0,3711
362,45,F,PhD,69,Arts,83,91,Assoc,0,4053
363,45,F,PhD,69,Arts,83,92,Assoc,0,4171
364,45,F,PhD,69,Arts,83,93,Assoc,0,4231
365,45,F,PhD,69,Arts,83,94,Assoc,0,4231
366,45,F,PhD,69,Arts,83,95,Assoc,0,4353
367,46,M,PhD,77,Arts,87,87,Assist,0,3361
368,46,M,PhD,77,Arts,87,88,Assist,0,3361
369,46,M,PhD,77,Arts,87,89,Assoc,0,4269
370,46,M,PhD,77,Arts,87,90,Assoc,0,4405
371,46,M,PhD,77,Arts,87,91,Assoc,1,4610
372,46,M,PhD,77,Arts,87,92,Assoc,1,4812
373,46,M,PhD,77,Arts,87,93,Full,1,5242
374,46,M,PhD,77,Arts,87,94,Full,0,5242
375,46,M,PhD,77,Arts,87,95,Full,0,5394
376,47,M,PhD,68,Other,68,76,Assoc,0,1838
377,47,M,PhD,68,Other,68,77,Assoc,0,2096
378,47,M,PhD,68,Other,68,78,Assoc,0,2278.788
379,47,M,PhD,68,Other,68,79,Assoc,0,2540
380,47,M,PhD,68,Other,68,80,Assoc,0,2732
381,47,M,PhD,68,Other,68,81,Assoc,0,2962
382,47,M,PhD,68,Other,68,82,Assoc,0,2962
383,47,M,PhD,68,Other,68,83,Assoc,0,3125
384,47,M,PhD,68,Other,68,84,Full,0,3586
385,47,M,PhD,68,Other,68,85,Full,0,3586
386,47,M,PhD,68,Other,68,86,Full,0,4023
387,47,M,PhD,68,Other,68,87,Full,0,4225
388,47,M,PhD,68,Other,68,88,Full,0,4347
389,47,M,PhD,68,Other,68,89,Full,0,4718
390,47,M,PhD,68,Other,68,90,Full,0,4939
391,47,M,PhD,68,Other,68,91,Full,0,5095
392,47,M,PhD,68,Other,68,92,Full,0,5168
393,47,M,PhD,68,Other,68,93,Full,0,5318
394,47,M,PhD,68,Other,68,94,Full,0,5318
395,47,M,PhD,68,Other,68,95,Full,0,5712
396,48,M,PhD,56,Other,90,90,Full,0,11155
397,48,M,PhD,56,Other,90,91,Full,0,11840
398,48,M,PhD,56,Other,90,92,Full,0,12184
399,48,M,PhD,56,Other,90,93,Full,0,12537
400,48,M,PhD,56,Other,90,94,Full,0,12537
401,48,M,PhD,56,Other,90,95,Full,0,13086
402,49,M,PhD,71,Other,73,76,Assist,0,1683
403,49,M,PhD,71,Other,73,77,Assist,0,1828
404,49,M,PhD,71,Other,73,78,Assoc,0,2019
405,49,M,PhD,71,Other,73,79,Assoc,0,2314.925
406,49,M,PhD,71,Other,73,80,Assoc,0,2552
407,49,M,PhD,71,Other,73,81,Assoc,0,2798
408,49,M,PhD,71,Other,73,82,Assoc,0,2798
409,49,M,PhD,71,Other,73,83,Assoc,0,2952
410,49,M,PhD,71,Other,73,84,Assoc,0,3243
411,49,M,PhD,71,Other,73,85,Assoc,0,3243
412,49,M,PhD,71,Other,73,86,Assoc,0,3537
413,49,M,PhD,71,Other,73,87,Full,0,3822
414,49,M,PhD,71,Other,73,88,Full,0,4047
415,49,M,PhD,71,Other,73,89,Full,0,4456
416,49,M,PhD,71,Other,73,90,Full,0,4664
417,49,M,PhD,71,Other,73,91,Full,0,5095
418,49,M,PhD,71,Other,73,92,Full,0,5242
419,49,M,PhD,71,Other,73,93,Full,0,5318
420,49,M,PhD,71,Other,73,94,Full,0,5318
421,49,M,PhD,71,Other,73,95,Full,0,5472
422,51,M,PhD,58,Other,62,76,Full,0,2685
423,51,M,PhD,58,Other,62,77,Full,0,2888
424,51,M,PhD,58,Other,62,78,Full,0,3021
425,51,M,PhD,58,Other,62,79,Full,0,3297.015
426,51,M,PhD,58,Other,62,80,Full,0,3597
427,51,M,PhD,58,Other,62,81,Full,0,3943
428,51,M,PhD,58,Other,62,82,Full,0,4000
429,51,M,PhD,58,Other,62,83,Full,0,4220
430,51,M,PhD,58,Other,62,84,Full,0,4505
431,51,M,PhD,58,Other,62,85,Full,0,4505
432,51,M,PhD,58,Other,62,86,Full,0,4641
433,51,M,PhD,58,Other,62,87,Full,0,4874
434,51,M,PhD,58,Other,62,88,Full,0,4944
435,51,M,PhD,58,Other,62,89,Full,0,5366
436,51,M,PhD,58,Other,62,90,Full,0,5617
437,51,M,PhD,58,Other,62,91,Full,0,5878
438,51,M,PhD,58,Other,62,92,Full,0,6048
439,51,M,PhD,58,Other,62,93,Full,0,6223
440,51,M,PhD,58,Other,62,94,Full,0,6223
441,51,M,PhD,58,Other,62,95,Full,0,6496
442,52,M,PhD,81,Other,89,89,Assist,0,5068
443,52,M,PhD,81,Other,89,90,Assist,0,5155
444,52,M,PhD,81,Other,89,91,Assoc,0,6048
445,52,M,PhD,81,Other,89,92,Assoc,0,6496
446,52,M,PhD,81,Other,89,93,Assoc,0,6977
447,52,M,PhD,81,Other,89,94,Assoc,0,6977
448,52,M,PhD,81,Other,89,95,Assoc,0,7283
449,53,M,PhD,66,Other,66,76,Full,0,2232
450,53,M,PhD,66,Other,66,77,Full,0,2460
451,53,M,PhD,66,Other,66,78,Full,0,2585
452,53,M,PhD,66,Other,66,79,Full,0,2880.597
453,53,M,PhD,66,Other,66,80,Full,0,3253
454,53,M,PhD,66,Other,66,82,Full,1,3568
455,53,M,PhD,66,Other,66,83,Full,1,4403
456,53,M,PhD,66,Other,66,84,Full,1,4771
457,53,M,PhD,66,Other,66,85,Full,1,4771
458,53,M,PhD,66,Other,66,86,Full,1,5431
459,53,M,PhD,66,Other,66,87,Full,1,5703
460,53,M,PhD,66,Other,66,88,Full,1,6039
461,53,M,PhD,66,Other,66,89,Full,1,6555
462,53,M,PhD,66,Other,66,90,Full,1,6861
463,53,M,PhD,66,Other,66,91,Full,1,7180
464,53,M,PhD,66,Other,66,92,Full,1,7388
465,53,M,PhD,66,Other,66,93,Full,1,7823
466,53,M,PhD,66,Other,66,94,Full,1,7823
467,53,M,PhD,66,Other,66,95,Full,1,8283
468,54,F,PhD,92,Other,95,95,Assist,0,4875
469,55,M,PhD,91,Other,94,94,Assist,0,4480
470,55,M,PhD,91,Other,94,95,Assist,0,4676
471,56,M,PhD,93,Other,93,93,Assist,0,8000
472,56,M,PhD,93,Other,93,94,Assist,0,8000
473,56,M,PhD,93,Other,93,95,Assist,0,8232
474,58,F,PhD,74,Other,75,76,Assist,0,1624
475,58,F,PhD,74,Other,75,77,Assist,0,1744
476,58,F,PhD,74,Other,75,78,Assist,0,1936
477,58,F,PhD,74,Other,75,79,Assist,0,2196
478,58,F,PhD,74,Other,75,80,Assoc,0,2664
479,58,F,PhD,74,Other,75,81,Assoc,0,3137
480,58,F,PhD,74,Other,75,82,Assoc,0,3275
481,58,F,PhD,74,Other,75,83,Assoc,0,3455
482,58,F,PhD,74,Other,75,84,Full,0,3962
483,58,F,PhD,74,Other,75,85,Full,0,3962
484,58,F,PhD,74,Other,75,86,Full,0,4510
485,58,F,PhD,74,Other,75,87,Full,0,4736
486,58,F,PhD,74,Other,75,88,Full,0,4944
487,58,F,PhD,74,Other,75,89,Full,0,5366
488,58,F,PhD,74,Other,75,90,Full,0,6764
489,58,F,PhD,74,Other,75,91,Full,0,6878
490,58,F,PhD,74,Other,75,92,Full,0,7078
491,58,F,PhD,74,Other,75,93,Full,0,7283
492,58,F,PhD,74,Other,75,94,Full,0,7283
493,58,F,PhD,74,Other,75,95,Full,0,7494
494,59,F,PhD,89,Arts,90,90,Assist,0,3263
495,59,F,PhD,89,Arts,90,91,Assist,0,3318
496,59,F,PhD,89,Arts,90,92,Assist,0,3463
