Date,Year,Month,Recession,Consumer_Confidence,Seasonality_Weight,Price,Advertising_Expenditure,Competition,GDP,Growth_Rate,unemployment_rate,Automobile_Sales,Vehicle_Type,City
3/31/1981,1981,Mar,1,87.32,0.2,16375.411,4744,4,15.784,-0.957108464,4.4,654,Smallfamiliycar,Georgia
4/30/1981,1981,Apr,1,86.71,1,22188.562,1901,6,15.685,-0.006311763,2.8,657.1,Supperminicar,California
5/31/1981,1981,May,1,116.55,0.2,19935.844,1689,4,55.253,0.716124011,4.1,752.9,Mediumfamilycar,California
6/30/1981,1981,Jun,1,92.96,0.75,26571.237,3039,9,27.88,-0.981814921,4.3,677.6,Smallfamiliycar,California
7/31/1981,1981,Jul,1,90.55,0.5,20459.88,1009,8,39.886,0.301007872,5.6,638.2,Smallfamiliycar,New York
8/31/1981,1981,Aug,1,123.03,0.25,17938.481,1260,5,29.138,-0.368865399,3.7,779.5,Supperminicar,New York
9/30/1981,1981,Sep,1,109.86,0.07,32328.244,2942,8,60.593,0.51911937,3.1,574.2,Smallfamiliycar,Illinois
10/31/1981,1981,Oct,1,94.06,0,23871.118,2673,5,27.206,-1.227192531,4.7,648.1,Smallfamiliycar,Illinois
11/30/1981,1981,Nov,1,102.18,0.07,25337.641,3219,9,35.553,0.23477625,3.3,558,Mediumfamilycar,Georgia
12/31/1981,1981,Dec,1,119.46,0.25,17876.259,3945,8,57.264,0.379138726,2.6,762,Supperminicar,California
1/31/1982,1982,Jan,1,106.92,0.5,22278.086,3060,6,55.755,-0.027064837,5.3,466,Smallfamiliycar,New York
2/28/1982,1982,Feb,1,112.86,0.75,25554.613,2191,7,23.619,-1.360599517,4.2,614.4,Smallfamiliycar,Illinois
3/31/1982,1982,Mar,1,108.05,0.2,19245.032,4713,6,53.83,0.561229798,5,751.4,Mediumfamilycar,New York
4/30/1982,1982,Apr,1,109.3,1,26878.49,2619,4,36.951,-0.456794133,3.2,617.3,Mediumfamilycar,California
5/31/1982,1982,May,1,100.4,0.2,21996.807,1320,6,38.165,0.031809249,4,763.9,Mediumfamilycar,Illinois
6/30/1982,1982,Jun,1,100.11,0.75,23541.531,2342,9,21.041,-0.813839646,3.8,726.7,Mediumfamilycar,New York
7/31/1982,1982,Jul,1,102.67,0.5,21991.467,2636,3,18.449,-0.14049542,3.2,738.8,Mediumfamilycar,Illinois
8/31/1982,1982,Aug,1,107.34,0.25,34261.391,3376,4,50.169,0.632262951,4.6,552.3,Smallfamiliycar,California
9/30/1982,1982,Sep,1,97.17,0.07,24932.514,3832,8,38.827,-0.292116311,2.8,776.2,Smallfamiliycar,Georgia
10/31/1982,1982,Oct,1,101.22,0,19711.445,3824,4,35.906,-0.081351306,4.1,720.2,Mediumfamilycar,New York
11/30/1982,1982,Nov,1,96.9,0.07,29112.725,2994,7,50.246,0.285395852,5.4,102,Sports,Georgia
12/31/1982,1982,Dec,1,101.16,0.25,18895.782,3958,5,52.01,0.033916555,3.6,744.6,Mediumfamilycar,Georgia
1/31/1983,1983,Jan,1,87.49,0.5,26044.318,2943,8,22.287,-1.333647418,3.2,589,Smallfamiliycar,Illinois
2/28/1990,1990,Feb,1,93.69,0.75,20453.063,1477,3,44.401,0.498051846,4.9,754.8,Supperminicar,Georgia
3/31/1990,1990,Mar,1,109.07,0.2,32013.972,2254,9,21.132,-1.101126254,3,574.7,Smallfamiliycar,California
4/30/1990,1990,Apr,1,100.36,1,17990.745,1922,5,51.317,0.588206637,2.8,714.8,Mediumfamilycar,New York
5/31/1990,1990,May,1,118.65,0.2,27934.285,1419,3,46.691,-0.09907691,5,676.1,Smallfamiliycar,California
6/30/1990,1990,Jun,1,108.2,0.75,35952.278,3204,5,61.374,0.239238114,2.6,570.9,Smallfamiliycar,New York
7/31/1990,1990,Jul,1,111.04,0.5,20047.318,3597,7,17.879,-2.432742323,5.5,605.3,Mediumfamilycar,New York
8/31/1990,1990,Aug,1,101.33,0.25,22168.511,4512,3,17.296,-0.033707216,5.3,550.9,Smallfamiliycar,Georgia
9/30/1990,1990,Sep,1,101.57,0.07,25498.257,2120,6,28.327,0.389416458,5.4,659.1,Mediumfamilycar,California
10/31/1990,1990,Oct,1,117.31,0,22482.622,4068,8,27.324,-0.036707656,2.9,619.4,Smallfamiliycar,California
11/30/1990,1990,Nov,1,96.22,0.07,17246.683,4044,8,26.602,-0.027140816,3.7,689.8,Smallfamiliycar,Illinois
12/31/1990,1990,Dec,1,105.47,0.25,25342.815,4482,5,58.906,0.548399144,5.5,723,Smallfamiliycar,California
1/31/1991,1991,Jan,1,97.34,0.5,19688.481,1950,9,26.728,-1.203906016,4.5,619.1,Mediumfamilycar,Illinois
2/28/1991,1991,Feb,1,97.31,0.75,27367.962,3336,6,27.826,0.039459498,3.8,724.1,Supperminicar,California
3/31/1991,1991,Mar,1,88.31,0.2,20402.879,2277,3,51.711,0.461893988,5.7,559.4,Supperminicar,New York
4/30/1991,1991,Apr,1,92.57,1,32749.672,3243,6,36.537,-0.415305033,2.9,564,Executivecar,New York
5/31/1991,1991,May,1,90.72,0.2,21083.734,3645,6,52.559,0.304838372,3.2,750,Supperminicar,New York
6/30/1991,1991,Jun,1,105.94,0.75,23389.692,2857,9,17.703,-1.968931819,4.2,706.3,Mediumfamilycar,Georgia
7/31/1991,1991,Jul,1,110.4,0.5,29067.586,4593,3,38.391,0.538876299,2.6,688.6,Mediumfamilycar,Illinois
8/31/1991,1991,Aug,1,99.05,0.25,18845.678,1516,7,16.147,-1.377593361,4.5,759.5,Smallfamiliycar,New York
9/30/1991,1991,Sep,1,102.3,0.07,26137.3,2658,9,17.57,0.080990324,2.6,591.9,Mediumfamilycar,California
10/31/1991,1991,Oct,1,98.48,0,31535.714,2865,6,58.915,0.701773742,3.7,566.7,Supperminicar,Illinois
11/30/1991,1991,Nov,1,91.89,0.07,16962.584,3912,6,21.323,-1.762978943,3.8,604.8,Mediumfamilycar,California
12/31/1991,1991,Dec,1,108.62,0.25,25923.169,2141,7,40.589,0.474660622,5.4,736.3,Smallfamiliycar,New York
1/31/1992,1992,Jan,1,106.53,0.5,26299.414,3853,6,34.644,-0.171602586,2.9,556.2,Mediumfamilycar,Illinois
2/29/1992,1992,Feb,1,81.07,0.75,28909.114,2932,6,31.52,-0.099111675,4.5,686.1,Supperminicar,Georgia
3/31/1992,1992,Mar,1,97.17,0.2,18815.246,4230,6,58.592,0.4620426,5.4,783.9,Mediumfamilycar,Georgia
4/30/2000,2000,Apr,1,119.77,1,29328.776,4208,9,15.569,-2.763375939,6,750.8,Supperminicar,Georgia
5/31/2000,2000,May,1,113.51,0.2,18998.518,1201,3,47.026,0.668927827,4,671.6,Smallfamiliycar,Georgia
6/30/2000,2000,Jun,1,104.64,0.75,23327.494,4507,6,61.706,0.237902311,4.2,563.1,Supperminicar,Illinois
7/31/2000,2000,Jul,1,94.2,0.5,22625.273,3360,9,41.948,-0.471011729,3.5,745,Supperminicar,New York
8/31/2000,2000,Aug,1,99.76,0.25,21733.354,1116,7,60.404,0.305542679,2.9,690,Mediumfamilycar,New York
9/30/2000,2000,Sep,1,97.78,0.07,33827.271,4737,5,17.061,-2.540472422,5.7,575.2,Smallfamiliycar,Georgia
10/31/2000,2000,Oct,1,87.85,0,27024.909,1936,7,35.021,0.512835156,3.4,570.2,Mediumfamilycar,Illinois
11/30/2000,2000,Nov,1,106.5,0.07,18695.58,4874,6,27.248,-0.285268644,5.3,195,Sports,Georgia
12/31/2000,2000,Dec,1,115.67,0.25,29589.31,1574,3,50.31,0.458397933,3,706.6,Mediumfamilycar,Georgia
1/31/2001,2001,Jan,1,97.02,0.5,35610.781,3291,9,62.584,0.196120414,3.1,744.5,Supperminicar,New York
2/28/2001,2001,Feb,1,121.64,0.75,30162.326,1536,7,27.07,-1.311932028,4.1,756.3,Smallfamiliycar,Georgia
3/31/2001,2001,Mar,1,84.42,0.2,17403.15,2625,7,46.555,0.418537214,3.5,683.5,Mediumfamilycar,Illinois
4/30/2001,2001,Apr,1,110.54,1,22578.83,3122,3,24.207,-0.923204032,4.9,670.6,Smallfamiliycar,California
5/31/2001,2001,May,1,116.72,0.2,31334.556,4877,9,42.201,0.426388,4.4,650,Supperminicar,Illinois
6/30/2001,2001,Jun,1,97.96,0.75,21461.653,1385,5,37.233,-0.133430022,3.1,623.1,Mediumfamilycar,Georgia
7/31/2001,2001,Jul,1,98.14,0.5,27219.097,4974,3,62.128,0.400704996,4.4,651,Mediumfamilycar,California
8/31/2001,2001,Aug,1,110.43,0.25,28873.17,4281,7,44.318,-0.401868315,4.7,731.4,Mediumfamilycar,California
9/30/2001,2001,Sep,1,105.06,0.07,20365.348,1474,5,31.626,-0.401315373,4.3,690.7,Supperminicar,Georgia
10/31/2001,2001,Oct,1,80.03,0,24702.373,1417,5,20.091,-0.574137674,3.1,759.5,Mediumfamilycar,California
11/30/2001,2001,Nov,1,91.57,0.07,8793.663,3394,3,21.911,0.083063302,4.8,653.1,Supperminicar,Georgia
12/31/2001,2001,Dec,1,99.86,0.25,19878.062,4600,7,25.541,0.142124427,5.4,691.9,Supperminicar,Georgia
1/31/2002,2002,Jan,1,86.3,0.5,23737.159,3687,6,26.797,0.046870918,3.5,697.6,Mediumfamilycar,Illinois
2/28/2002,2002,Feb,1,95.26,0.75,18761.084,1938,7,56.18,0.523015308,3.1,688.2,Supperminicar,New York
3/31/2002,2002,Mar,1,86.55,0.2,33162.057,1954,4,42,-0.337619048,5.6,714.5,Smallfamiliycar,New York
4/30/2002,2002,Apr,1,96.3,1,17849.293,1875,9,40.146,-0.046181438,5.2,604.3,Supperminicar,Georgia
4/30/2008,2008,Apr,1,91.05,1,22181.377,2920,7,20.124,-0.994931425,5.5,669.4,Mediumfamilycar,Illinois
5/31/2008,2008,May,1,91.19,0.2,20888.898,4335,6,56.647,0.644747295,4.8,572.7,Mediumfamilycar,California
6/30/2008,2008,Jun,1,116.16,0.75,26218.436,3972,5,49.918,-0.134801074,4.4,639.1,Mediumfamilycar,California
7/31/2008,2008,Jul,1,119.72,0.5,26224.833,1054,8,17.816,-1.801863493,3.4,663.6,Mediumfamilycar,California
8/31/2008,2008,Aug,1,97.87,0.25,22465.284,4942,3,49.184,0.63776838,3.7,702.6,Supperminicar,Georgia
9/30/2008,2008,Sep,1,100.68,0.07,22644.808,4714,7,41.133,-0.195730922,3.8,773.3,Smallfamiliycar,California
10/31/2008,2008,Oct,1,104,0,26160.25,1799,5,18.505,-1.222804647,4.8,690.4,Smallfamiliycar,Illinois
11/30/2008,2008,Nov,1,101.48,0.07,17759.578,1777,4,36.957,0.49928295,3.1,724.2,Supperminicar,Illinois
12/31/2008,2008,Dec,1,83.26,0.25,17962.681,2481,8,38.25,0.033803922,4.4,668,Smallfamiliycar,California
1/31/2009,2009,Jan,1,104.28,0.5,21407.779,2901,9,22.623,-0.690757194,2.6,698.3,Mediumfamilycar,New York
2/28/2009,2009,Feb,1,79.12,0.75,23932.764,3209,9,60.839,0.628149707,3.8,564.8,Supperminicar,Georgia
3/31/2009,2009,Mar,1,92.67,0.2,26554.538,4451,3,56.149,-0.083527757,5.6,608.3,Smallfamiliycar,Georgia
4/30/2009,2009,Apr,1,105.05,1,32376.781,3134,6,47.282,-0.187534368,3.6,633.8,Supperminicar,California
5/31/2009,2009,May,1,106,0.2,29288.298,1054,3,37.152,-0.272663652,4.9,660,Supperminicar,Georgia
6/30/2009,2009,Jun,1,91.9,0.75,24200.307,4547,9,34.677,-0.071372956,3.6,558.8,Mediumfamilycar,New York
7/31/2009,2009,Jul,1,95.42,0.5,24904.919,2823,4,46.398,0.252618647,5.8,581.2,Smallfamiliycar,Georgia
8/31/2009,2009,Aug,1,94.06,0.25,19987.353,2201,7,41.226,-0.12545481,5.4,613.6,Smallfamiliycar,New York
9/30/2009,2009,Sep,1,98.97,0.07,24907.434,4462,7,17.551,-1.348925987,3,778.3,Mediumfamilycar,Illinois
10/31/2009,2009,Oct,1,99.73,0,23556.707,4420,8,39.613,0.556938379,5.2,626.5,Supperminicar,New York
11/30/2009,2009,Nov,1,106.68,0.07,26613.593,4079,7,54.014,0.266616063,3.1,662.2,Smallfamiliycar,Georgia
12/31/2009,2009,Dec,1,94.83,0.25,20863.845,1832,8,37.003,-0.459719482,5,594.5,Smallfamiliycar,Illinois
9/30/2020,2020,Sep,1,111.62,0.07,33435.708,2622,8,17.046,-1.170773202,3.7,692.8,Mediumfamilycar,Illinois
10/31/2020,2020,Oct,1,84.48,0,29408.199,4700,4,53.028,0.678547183,3.6,214,Sports,California
11/30/2020,2020,Nov,1,112.39,0.07,24960.137,4945,8,24.367,-1.17622194,4.2,597.1,Mediumfamilycar,New York
12/31/2020,2020,Dec,1,97.85,0.25,32399.721,1341,4,27.172,0.103231267,4.9,670.4,Smallfamiliycar,New York
2/28/1983,1983,Feb,0,126.06,0.75,15201.649,4621,4,12.819,-1.119666121,2.4,3799.1,Sports,Georgia
3/31/1983,1983,Mar,0,92.67,1.5,18359.07,3038,8,12.945,0.009733488,1.5,3533.5,Smallfamiliycar,California
4/30/1983,1983,Apr,0,96.39,1,25984.306,4490,8,25.206,0.486431802,2,3240.4,Supperminicar,Illinois
5/31/1983,1983,May,0,91.81,1.5,28692.333,4677,8,14.63,-0.722898154,2.3,908.1,Smallfamiliycar,California
6/30/1983,1983,Jun,0,106.16,0.75,25856.841,2118,5,18.765,0.220357048,2.3,4769.8,Mediumfamilycar,Illinois
7/31/1983,1983,Jul,0,98.04,0.5,24421.759,4888,9,32.154,0.416402314,3,426.5,Mediumfamilycar,Georgia
8/31/1983,1983,Aug,0,90.36,0.25,23494.482,2604,6,59.05,0.455478408,2.4,4120.2,Executivecar,California
9/30/1983,1983,Sep,0,106.57,0.07,17607.39,3365,8,45.679,-0.292716566,1.7,4199.6,Sports,New York
10/31/1983,1983,Oct,0,107.92,0.12,21400.779,1235,3,42.235,-0.081543743,1.1,4686.4,Mediumfamilycar,Illinois
11/30/1983,1983,Nov,0,99.33,0.25,22696.806,2969,9,29.522,-0.430628006,1.3,2962.9,Mediumfamilycar,California
12/31/1983,1983,Dec,0,93.36,0.34,30285.611,1333,7,66.542,0.556340356,3,1436.7,Supperminicar,Illinois
1/31/1984,1984,Jan,0,121.91,0.5,26718.091,2908,5,35.527,-0.872998002,1.2,3284.7,Supperminicar,New York
2/29/1984,1984,Feb,0,103.4,0.75,16184.799,1375,4,17.551,-1.024215144,1.4,3844.2,Mediumfamilycar,New York
3/31/1984,1984,Mar,0,87.26,1.5,26620.42,4530,5,48.29,0.63655001,1.4,3822.1,Mediumfamilycar,Georgia
4/30/1984,1984,Apr,0,114.14,1,23074.589,2160,4,19.103,-1.527875203,2.1,2514,Sports,Illinois
5/31/1984,1984,May,0,91.44,1.5,21615.39,3635,5,32.523,0.412631061,2.2,851.8,Smallfamiliycar,Georgia
6/30/1984,1984,Jun,0,127.42,0.75,28058.381,2570,4,41.93,0.224350107,2.4,2194.6,Supperminicar,New York
7/31/1984,1984,Jul,0,100.8,0.5,30154.998,3560,8,63.205,0.336603117,2.9,4633.4,Mediumfamilycar,New York
8/31/1984,1984,Aug,0,110.13,0.25,29656.401,2319,6,41.126,-0.536862326,2.5,3141.2,Smallfamiliycar,California
9/30/1984,1984,Sep,0,79.2,0.07,20803.912,4391,4,53.231,0.227405084,2.5,2936.6,Supperminicar,New York
10/31/1984,1984,Oct,0,87.16,0.12,23453.938,3965,4,70.083,0.240457743,2,1740.9,Executivecar,Georgia
11/30/1984,1984,Nov,0,113.34,0.25,26656.317,4643,3,20.126,-2.482212064,1.5,2182.8,Smallfamiliycar,New York
12/31/1984,1984,Dec,0,103.18,0.34,29877.726,2855,4,28.434,0.292185412,2.1,4520.7,Executivecar,Illinois
1/31/1985,1985,Jan,0,120.42,0.5,22604.129,2372,3,35.385,0.196439169,2.9,3505.1,Smallfamiliycar,Georgia
2/28/1985,1985,Feb,0,104.85,0.75,24071.705,4911,7,36.966,0.042769031,1.1,4041.6,Smallfamiliycar,Illinois
3/31/1985,1985,Mar,0,101.45,1.5,19468.325,4850,8,36.339,-0.01725419,1.1,2563.9,Mediumfamilycar,Illinois
4/30/1985,1985,Apr,0,117.14,1,19018.967,1872,3,65.141,0.44214857,1.4,2861,Sports,Georgia
5/31/1985,1985,May,0,110.1,1.5,29062.629,2252,6,53.914,-0.208239047,1,3336.3,Mediumfamilycar,Georgia
6/30/1985,1985,Jun,0,98.04,0.75,31781.2,3317,9,47.759,-0.128876233,1.9,3678.1,Executivecar,Georgia
7/31/1985,1985,Jul,0,89.06,0.5,24639.949,2851,8,30.444,-0.568749179,1.1,2445.3,Smallfamiliycar,Illinois
8/31/1985,1985,Aug,0,76.28,0.25,30017.664,3845,3,60.28,0.494956868,2.8,2511.6,Executivecar,Georgia
9/30/1985,1985,Sep,0,95.62,0.07,26808.18,2314,8,67.894,0.112145403,2.3,3429,Smallfamiliycar,Illinois
10/31/1985,1985,Oct,0,88.14,0.12,21774.401,1724,8,60.13,-0.129120239,2.5,4702.3,Executivecar,Illinois
11/30/1985,1985,Nov,0,125.98,0.25,26806.978,4236,8,12.591,-3.775633389,2.6,832,Mediumfamilycar,California
12/31/1985,1985,Dec,0,93.5,0.34,32690.183,3052,7,49.411,0.745178199,2.7,4207.4,Sports,Georgia
1/31/1986,1986,Jan,0,93.22,0.5,24820.87,3898,6,15.466,-2.194814432,1.8,1845.3,Mediumfamilycar,Illinois
2/28/1986,1986,Feb,0,84.79,0.75,32823.218,4450,5,27.441,0.436390802,1.4,2517.7,Supperminicar,New York
3/31/1986,1986,Mar,0,97.34,1.5,11901.274,1077,5,15.952,-0.72022317,1.8,645.2,Supperminicar,Illinois
4/30/1986,1986,Apr,0,93.35,1,29109.513,4481,3,47.52,0.664309764,2.7,1345.2,Sports,California
5/31/1986,1986,May,0,117.38,1.5,25435.235,3621,8,52.322,0.091777837,1.4,2778.2,Mediumfamilycar,New York
6/30/1986,1986,Jun,0,101.68,0.75,23504.963,1131,3,19.14,-1.733646813,1.7,797.3,Executivecar,California
7/31/1986,1986,Jul,0,99.91,0.5,25458.804,1600,7,34.763,0.449414607,2.2,2727,Smallfamiliycar,Georgia
8/31/1986,1986,Aug,0,98.65,0.25,15062.155,2772,7,38.962,0.107771675,1.7,4661.6,Mediumfamilycar,California
9/30/1986,1986,Sep,0,107.86,0.07,23901.641,2065,4,33.905,-0.149152042,2.5,1015.6,Supperminicar,California
10/31/1986,1986,Oct,0,95.48,0.12,26785.563,3136,7,19.519,-0.737025462,2.3,3939.8,Sports,Georgia
11/30/1986,1986,Nov,0,106.67,0.25,32389.47,3449,4,36.799,0.469577978,1.2,2365.7,Executivecar,New York
12/31/1986,1986,Dec,0,116.14,0.34,22408.649,3343,6,56.068,0.34367197,2.4,3455,Sports,New York
1/31/1987,1987,Jan,0,104.6,0.5,20957.532,2863,3,16.618,-2.373931881,2.1,1702.7,Smallfamiliycar,California
2/28/1987,1987,Feb,0,97.5,0.75,22491.215,2318,9,17.15,0.031020408,1.2,1255.7,Executivecar,New York
3/31/1987,1987,Mar,0,90.47,1.5,29577.011,1615,6,33.077,0.481512834,1.6,1260,Executivecar,Illinois
4/30/1987,1987,Apr,0,97.25,1,26643.756,4597,7,67.12,0.507196067,2.9,860.8,Mediumfamilycar,Illinois
5/31/1987,1987,May,0,105.63,1.5,22351.199,3847,6,51.277,-0.308968933,2.7,1883.7,Sports,Illinois
6/30/1987,1987,Jun,0,84.67,0.75,27566.337,4762,6,51.863,0.011298999,3,3495.1,Sports,California
7/31/1987,1987,Jul,0,108.32,0.5,25485.388,4708,6,33.491,-0.548565286,1.7,4460.1,Sports,Georgia
8/31/1987,1987,Aug,0,102.08,0.25,29843.225,3469,7,46.932,0.286393079,2.1,4160.3,Executivecar,Georgia
9/30/1987,1987,Sep,0,98.51,0.07,21489.735,2888,9,13.088,-2.585880196,2.7,3587.9,Smallfamiliycar,Georgia
10/31/1987,1987,Oct,0,93.41,0.12,23361.689,2046,8,49.394,0.735028546,1.1,1038,Smallfamiliycar,Illinois
11/30/1987,1987,Nov,0,95.24,0.25,23039.459,1574,6,65.471,0.245559103,1.9,1831.1,Sports,California
12/31/1987,1987,Dec,0,105.97,0.34,17682.425,3190,4,48.029,-0.363155593,2.5,1922.6,Supperminicar,Georgia
1/31/1988,1988,Jan,0,98.72,0.5,26480.601,1992,7,63.175,0.239746735,2,1657.1,Executivecar,New York
2/29/1988,1988,Feb,0,94.99,0.75,26305.276,3712,6,54.49,-0.159387043,1.6,2833.1,Executivecar,California
3/31/1988,1988,Mar,0,104.69,1.5,25025.567,3192,9,19.492,-1.795505849,2.8,2924.3,Executivecar,Illinois
4/30/1988,1988,Apr,0,105.08,1,23827.064,2248,8,64.842,0.699392369,2.5,2131.5,Sports,New York
5/31/1988,1988,May,0,87.51,1.5,17923.146,4054,7,16.354,-2.964901553,1.4,3663.4,Mediumfamilycar,New York
6/30/1988,1988,Jun,0,105.71,0.75,22896.773,1502,5,43.47,0.623786519,2.1,4224.3,Mediumfamilycar,New York
7/31/1988,1988,Jul,0,125.02,0.5,23286.427,2997,8,20.744,-1.0955457,1.9,4050.1,Supperminicar,Illinois
8/31/1988,1988,Aug,0,104.7,0.25,20988.614,1820,4,13.179,-0.574019273,2.1,1913.7,Mediumfamilycar,New York
9/30/1988,1988,Sep,0,83.01,0.07,24193.571,4687,6,36.978,0.643598897,2.9,4602.5,Smallfamiliycar,Illinois
10/31/1988,1988,Oct,0,101.77,0.12,27020.254,3151,9,29.612,-0.248750507,2.7,4775.6,Mediumfamilycar,New York
11/30/1988,1988,Nov,0,81.69,0.25,34430.93,4110,5,40.688,0.272217853,2.1,1997.8,Sports,Georgia
12/31/1988,1988,Dec,0,131.67,0.34,25872.889,2970,9,45.978,0.115055026,2.6,2120.6,Sports,Georgia
1/31/1989,1989,Jan,0,122.36,0.5,26287.752,1197,5,15.037,-2.057657777,2.9,2791.5,Smallfamiliycar,Illinois
2/28/1989,1989,Feb,0,93.34,0.75,24627.77,2669,7,19.634,0.234134664,1.3,4723.8,Mediumfamilycar,New York
3/31/1989,1989,Mar,0,77.54,1.5,15406.144,3626,5,44.901,0.562726888,1,4436.2,Sports,Georgia
4/30/1989,1989,Apr,0,91.22,1,24867.431,3438,4,32.404,-0.385662264,1.4,1003.1,Supperminicar,New York
5/31/1989,1989,May,0,98.19,1.5,25301.151,2202,4,54.792,0.408599796,1.3,2290.5,Supperminicar,California
6/30/1989,1989,Jun,0,82.38,0.75,37316.211,3601,3,50.333,-0.088589991,2.5,3003.3,Smallfamiliycar,Illinois
7/31/1989,1989,Jul,0,99.31,0.5,24038.195,2471,4,61.545,0.182175644,1.1,2780.4,Mediumfamilycar,Georgia
8/31/1989,1989,Aug,0,98.12,0.25,26507.737,4571,8,52.665,-0.168612931,2.6,1408.2,Smallfamiliycar,Illinois
9/30/1989,1989,Sep,0,101.25,0.07,24826.441,4086,5,37.436,-0.40680094,1.1,4358.6,Sports,Georgia
10/31/1989,1989,Oct,0,102.3,0.12,19156.61,2646,4,51.532,0.273538772,1,3551.6,Mediumfamilycar,New York
11/30/1989,1989,Nov,0,90.34,0.25,30714.114,2692,7,28.472,-0.809918516,1.6,4265.8,Mediumfamilycar,Georgia
12/31/1989,1989,Dec,0,91.47,0.34,28759.665,2312,9,30.266,0.059274433,1,4358.3,Smallfamiliycar,Georgia
1/31/1990,1990,Jan,0,100.46,0.5,28955.16,3035,9,58.261,0.480510118,1.9,3868.5,Mediumfamilycar,New York
4/30/1992,1992,Apr,0,91.18,1,18397.717,1814,8,38.392,-0.517529694,2.5,804.6,Executivecar,Georgia
5/31/1992,1992,May,0,96.09,1.5,27609.708,3275,9,58.806,0.347141448,2.1,3257,Executivecar,Illinois
6/30/1992,1992,Jun,0,93.3,0.75,26484.923,2900,4,60.2,0.023156146,1.8,1259.5,Executivecar,California
7/31/1992,1992,Jul,0,99.54,0.5,26252.464,3263,9,62.239,0.032760809,2.9,3537,Mediumfamilycar,Illinois
8/31/1992,1992,Aug,0,96.7,0.25,26732.241,3995,7,65.665,0.052173913,1.8,1343.3,Sports,Georgia
9/30/1992,1992,Sep,0,96.49,0.07,21599.876,4767,6,37.497,-0.751206763,1,3627.1,Sports,Georgia
10/31/1992,1992,Oct,0,111.07,0.12,26161.268,3062,9,30.994,-0.209814803,2.6,1566.7,Executivecar,New York
11/30/1992,1992,Nov,0,105.57,0.25,26465.362,4228,8,46.268,0.330120169,1.4,1069.6,Supperminicar,New York
12/31/1992,1992,Dec,0,92.96,0.34,21428.243,4719,7,34.028,-0.359703773,1.2,1281.4,Supperminicar,Georgia
1/31/1993,1993,Jan,0,94.44,0.5,34328.873,4332,5,47.362,0.281533719,1.1,556.8,Smallfamiliycar,Georgia
2/28/1993,1993,Feb,0,104.92,0.75,27369.165,4228,9,53.424,0.113469602,1.1,3737,Executivecar,California
3/31/1993,1993,Mar,0,104.9,1.5,19043.483,3094,5,52.427,-0.019016919,2,3797.7,Mediumfamilycar,California
4/30/1993,1993,Apr,0,93.96,1,28282.768,3371,6,34.224,-0.531878214,1,2832.8,Mediumfamilycar,Georgia
5/31/1993,1993,May,0,97.66,1.5,20126.592,3891,8,22.178,-0.54315087,1.5,1264,Sports,Illinois
6/30/1993,1993,Jun,0,118.47,0.75,28935.423,4756,8,37.471,0.408128953,2.7,918.7,Sports,New York
7/31/1993,1993,Jul,0,94.13,0.5,30792.978,1129,9,20.77,-0.804092441,2,632.9,Sports,California
8/31/1993,1993,Aug,0,119.11,0.25,20896.588,4482,7,64.126,0.676106415,1.6,1283.4,Mediumfamilycar,New York
9/30/1993,1993,Sep,0,111.04,0.07,29816.881,1094,7,32.561,-0.969411259,2.5,4500.7,Executivecar,Georgia
